// Start Time: Unknown
// Update Rate: Various
// Filter Profile: vru_general (43.12)
// Option Flags: AHS Enabled ICC Enabled 
// Firmware Version: 1.5.1
PacketCounter	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
15182	0.242952	0.212975	9.792371	-0.007594	0.005803	0.000325	-0.271451	-0.804186	-3.497442	1.308547	-1.646981	-3.302089
15186	0.246681	0.198390	9.820946	0.003976	-0.000599	-0.004810	-0.273882	-0.809522	-3.506905	1.310011	-1.648755	-3.296288
15190	0.252951	0.200013	9.823487	0.009877	0.007854	0.002192	-0.258577	-0.807192	-3.493871	1.314979	-1.642284	-3.287280
15194	0.247206	0.202275	9.797301	0.001595	0.004213	0.002902	-0.265793	-0.804555	-3.508427	1.313408	-1.639637	-3.285490
15198	0.245976	0.208710	9.798445	-0.000711	-0.003263	-0.006999	-0.271272	-0.809605	-3.506649	1.312237	-1.642337	-3.281700
15202	0.243936	0.214794	9.771231	0.001024	-0.001424	-0.011768	-0.260664	-0.799344	-3.501008	1.309699	-1.641716	-3.290545
15206	0.240680	0.219355	9.778255	0.013391	-0.004824	0.000549	-0.274147	-0.806731	-3.497703	1.316231	-1.646249	-3.277094
15210	0.249660	0.211858	9.786335	-0.007918	0.003390	-0.009612	-0.263183	-0.804639	-3.508171	1.309504	-1.643279	-3.284340
15214	0.253702	0.214859	9.791986	-0.008297	0.000183	0.000261	-0.273272	-0.799129	-3.513781	1.300573	-1.644788	-3.286783
15218	0.237284	0.221673	9.802135	0.008456	0.006046	-0.002595	-0.268578	-0.804391	-3.504084	1.303435	-1.641747	-3.283354
15222	0.241188	0.229731	9.771606	0.014503	0.013786	0.005297	-0.265796	-0.796548	-3.501513	1.307499	-1.634126	-3.281871
15226	0.235234	0.240418	9.769669	0.006556	0.004198	-0.003914	-0.256139	-0.815202	-3.495931	1.312791	-1.629114	-3.274959
