// Start Time: Unknown
// Update Rate: Various
// Filter Profile: general (39.12)
// Option Flags: AHS Disabled ICC Disabled 
// Firmware Version: 1.5.1
PacketCounter	SampleTimeFine	Acc_X	Acc_Y	Acc_Z	Gyr_X	Gyr_Y	Gyr_Z	Mag_X	Mag_Y	Mag_Z	Roll	Pitch	Yaw
33062	3334305	0.049639	-0.000612	9.772455	0.009850	-0.013752	-0.003951	-0.555757	0.076555	-0.587055	-0.016080	-0.484889	-79.745541
33063	3334405	0.047711	-0.002234	9.774627	-0.000533	0.003550	-0.004002	-0.557619	0.076085	-0.597480	-0.017028	-0.482156	-79.748346
33064	3334505	0.044944	0.002693	9.784283	-0.000096	-0.006400	-0.001926	-0.550917	0.076107	-0.592850	-0.017736	-0.485123	-79.749699
33065	3334605	0.035305	0.001079	9.779401	-0.004193	0.000820	0.007291	-0.546908	0.069525	-0.586469	-0.020835	-0.483951	-79.746536
33066	3334705	0.041909	-0.004344	9.775787	0.000613	0.007061	-0.009506	-0.551108	0.073956	-0.590841	-0.021100	-0.479208	-79.752016
33067	3334805	0.051245	-0.016839	9.781036	-0.001573	0.007486	0.002405	-0.546565	0.069098	-0.594667	-0.022674	-0.474218	-79.751465
33068	3334905	0.050887	0.006359	9.791086	0.001609	0.006114	-0.000813	-0.548817	0.073892	-0.590664	-0.022409	-0.470016	-79.751884
33069	3335005	0.052680	0.001925	9.773692	0.001555	0.016735	-0.005002	-0.548798	0.076257	-0.588574	-0.022156	-0.459729	-79.754917
33070	3335105	0.034852	-0.004692	9.774343	0.005712	0.004549	-0.000268	-0.551023	0.073849	-0.592891	-0.019543	-0.456423	-79.755746
33071	3335205	0.051486	-0.002367	9.780899	0.003734	0.005793	0.004442	-0.549218	0.067223	-0.588736	-0.018086	-0.452403	-79.754188
33072	3335305	0.055076	-0.011473	9.777483	-0.005039	0.003998	-0.002618	-0.548502	0.080667	-0.590543	-0.021621	-0.449414	-79.754702
33073	3335405	0.046195	-0.010564	9.771271	0.004993	-0.009183	-0.005208	-0.546670	0.066840	-0.594708	-0.019398	-0.453977	-79.759224
33074	3335505	0.035862	-0.002451	9.771437	-0.007391	-0.009603	0.009854	-0.553104	0.078429	-0.592987	-0.024338	-0.458778	-79.753051
33075	3335605	0.048305	-0.010496	9.781013	0.001943	0.009186	-0.010838	-0.546736	0.069312	-0.590568	-0.023836	-0.452818	-79.760327
33076	3335705	0.034337	0.001443	9.777388	0.000248	-0.005573	0.003306	-0.551299	0.071804	-0.588832	-0.024370	-0.455311	-79.758712
33077	3335805	0.047817	-0.000132	9.767814	0.001343	-0.008224	-0.001952	-0.553504	0.071761	-0.591058	-0.024252	-0.459325	-79.760281
33078	3335905	0.042760	-0.006598	9.773296	-0.007146	0.002019	-0.002111	-0.555920	0.067201	-0.593365	-0.028997	-0.457470	-79.762407
